authorChannelId,authorChannelName,messagePublishDate,messageContent
UCecq2ARLr7C6n8Y8JSrdV6g,Etje,2024-02-06T04:27:37.280539+00:00,owo burungny kecik letoy pulak makanya di ceraikan titik 🤭
UCykqdQAQnOn_FsRuCQ9nsSA,pratiwi farera ,2024-02-06T04:27:43.67174+00:00,lu orang malay ga usah sok peduli sama politik di indonesia,urus aja negara lu
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:27:44.054756+00:00,ngeliat bini rasanya tersiksaa bget
UC9vQ8LMUyx968umkry1-pUg,senggol,2024-02-06T04:27:54.701744+00:00,Apa2 jgn2 simpenan juga ada zakunnya:face-blue-smiling:
UCXNiD9w_UGQpz7UHQHS8baA,Joshua galung,2024-02-06T04:28:05.480066+00:00,woiiii....parah
UCXNiD9w_UGQpz7UHQHS8baA,Joshua galung,2024-02-06T04:28:12.807729+00:00,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
UCksSczIvzeoF4SlYq1bf3eA,Rasul Hamidi,2024-02-06T04:28:13.658771+00:00,Katanya J0K0 wi, PESI DEN boleh MEmi hak. PESI DEN PASTI ME MIHAK ANAKNYA/ PA BO WO. J0o k owi benar benar ZOLIM. MAKANYA JANGAN PILIH ANAKNYA. BERBA HAYA. PILIHLAH PASLON NO.1 KARENA ANTI KKN
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:28:20.719784+00:00,itu hasil eksperimen gw
UC9vQ8LMUyx968umkry1-pUg,senggol,2024-02-06T04:28:32.712722+00:00,Wowo ada buyungny kok😪cuma MINUS LATO-LATO nya doank😪krn kualat sama mertua
UCksSczIvzeoF4SlYq1bf3eA,Rasul Hamidi,2024-02-06T04:28:34.151942+00:00,Katanya J0K0 wi, PESI DEN boleh MEmi hak. PESI DEN PASTI ME MIHAK ANAKNYA/ PA BO WO. J0o k owi benar benar ZOLIM. MAKANYA JANGAN PILIH ANAKNYA. BERBA HAYA. PILIHLAH PASLON NO.1 KARENA ANTI KKN
UCecq2ARLr7C6n8Y8JSrdV6g,Etje,2024-02-06T04:27:37.280539+00:00,owo burungny kecik letoy pulak makanya di ceraikan titik 🤭
UCykqdQAQnOn_FsRuCQ9nsSA,pratiwi farera ,2024-02-06T04:27:43.67174+00:00,lu orang malay ga usah sok peduli sama politik di indonesia,urus aja negara lu
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:27:44.054756+00:00,ngeliat bini rasanya tersiksaa bget
UC9vQ8LMUyx968umkry1-pUg,senggol,2024-02-06T04:27:54.701744+00:00,Apa2 jgn2 simpenan juga ada zakunnya:face-blue-smiling:
UCXNiD9w_UGQpz7UHQHS8baA,Joshua galung,2024-02-06T04:28:05.480066+00:00,woiiii....parah
UCXNiD9w_UGQpz7UHQHS8baA,Joshua galung,2024-02-06T04:28:12.807729+00:00,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
UCksSczIvzeoF4SlYq1bf3eA,Rasul Hamidi,2024-02-06T04:28:13.658771+00:00,Katanya J0K0 wi, PESI DEN boleh MEmi hak. PESI DEN PASTI ME MIHAK ANAKNYA/ PA BO WO. J0o k owi benar benar ZOLIM. MAKANYA JANGAN PILIH ANAKNYA. BERBA HAYA. PILIHLAH PASLON NO.1 KARENA ANTI KKN
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:28:20.719784+00:00,itu hasil eksperimen gw
UC9vQ8LMUyx968umkry1-pUg,senggol,2024-02-06T04:28:32.712722+00:00,Wowo ada buyungny kok😪cuma MINUS LATO-LATO nya doank😪krn kualat sama mertua
UCksSczIvzeoF4SlYq1bf3eA,Rasul Hamidi,2024-02-06T04:28:34.151942+00:00,Katanya J0K0 wi, PESI DEN boleh MEmi hak. PESI DEN PASTI ME MIHAK ANAKNYA/ PA BO WO. J0o k owi benar benar ZOLIM. MAKANYA JANGAN PILIH ANAKNYA. BERBA HAYA. PILIHLAH PASLON NO.1 KARENA ANTI KKN
UC3rGNbbjj3OBRPpoXyO-MjA,Mantis,2024-02-06T04:28:43.170923+00:00,JIAHAHA PENDUKUNG B0KEPER KOAR KOAR
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:28:56.781087+00:00,pasti lah ria riciss bikin surat gugatan dipengadilan isinya tak di sentuh
UC9vQ8LMUyx968umkry1-pUg,senggol,2024-02-06T04:29:25.558328+00:00,ehh...sipenjilat pleciden yg berhati spt nabi nongol😁kek upil
UCSCGOTpl7B7elVrBjJBt_ew,pak ucrit46,2024-02-06T04:29:27.477185+00:00,kalo isi gugatann tak disentuhh suami itu dah fatall..dipastikan hakim pasti bertanya kenapa
UCkNexB7KupB_UYGMES3oeQQ,Muhajir,2024-02-06T04:29:40.344771+00:00,klo mencari kepuasan maka tdk ada batasnya
